competition,season_label,player_name,innings,total_runs,avg_runs,strike_rate,batting_index
IPL,2025,Bhuvneshwar Kumar,6,14,2.33,56.0,130.67
IPL,2025,Mitchell Starc,6,6,1.0,60.0,60.0
IPL,2025,Noor Ahmad,6,7,1.17,41.18,48.04
LPL,2024,Avishka Fernando,8,342,42.75,158.33,6768.75
LPL,2024,Rilee Rossouw,9,342,38.0,168.47,6401.97
LPL,2024,Kusal Perera,8,296,37.0,169.14,6258.29
LPL,2024,Reeza Hendricks,6,225,37.5,131.58,4934.21
LPL,2024,Tim Seifert,8,302,37.75,129.06,4872.01
LPL,2024,Kusal Mendis,10,303,30.3,154.59,4684.13
LPL,2024,Glenn Phillips,6,182,30.33,135.82,4119.9
LPL,2024,Chamindu Wickramasinghe,6,171,28.5,129.55,3692.05
LPL,2024,Bhanuka Rajapaksa,8,174,21.75,165.71,3604.29
LPL,2024,Andre Fletcher,6,119,19.83,175.0,3470.83
LPL,2024,Rahmanullah Gurbaz,9,202,22.44,142.25,3192.8
LPL,2024,Alex Hales,8,202,25.25,122.42,3091.21
LPL,2024,Mark Chapman,8,185,23.13,130.28,3012.76
LPL,2024,Niroshan Dickwella,8,147,18.38,159.78,2936.01
LPL,2024,Pathum Nissanka,10,213,21.3,137.42,2927.03
LPL,2024,Charith Asalanka,8,144,18.0,148.45,2672.16
LPL,2024,Angelo Perera,6,102,17.0,137.84,2343.24
LPL,2024,Sadeera Samarawickrama,6,110,18.33,118.28,2168.46
LPL,2024,Janith Liyanage,8,125,15.63,131.58,2055.92
LPL,2024,Sahan Arachchige,7,96,13.71,106.67,1462.86
LPL,2024,Dwaine Pretorius,7,46,6.57,106.98,702.99
LPL,2024,Dinesh Chandimal,6,32,5.33,100.0,533.33
LPL,2024,Fabian Allen,6,22,3.67,137.5,504.17
PSL,2024,Usman Khan,7,430,61.43,164.12,10081.79
PSL,2024,Rassie van der Dussen,7,364,52.0,154.89,8054.47
PSL,2024,Babar Azam,11,569,51.73,142.61,7376.65
PSL,2024,Iftikhar Ahmed,10,259,25.9,194.74,5043.68
PSL,2024,Saim Ayub,11,345,31.36,157.53,4940.85
PSL,2024,Saud Shakeel,8,275,34.38,135.47,4656.71
PSL,2024,Sahibzada Farhan,8,266,33.25,133.67,4444.47
PSL,2024,Jason Roy,8,225,28.13,152.03,4275.76
PSL,2024,Reeza Hendricks,8,250,31.25,128.87,4027.06
PSL,2024,Kieron Pollard,7,191,27.29,146.92,4008.9
PSL,2024,Mohammad Rizwan,12,386,32.17,123.32,3966.88
PSL,2024,Tim Seifert,6,174,29.0,135.94,3942.19
PSL,2024,Shadab Khan,11,295,26.82,145.32,3897.22
PSL,2024,Azam Khan,10,226,22.6,171.21,3869.39
PSL,2024,Agha Salman,11,285,25.91,139.71,3619.65
PSL,2024,Colin Munro,9,244,27.11,129.79,3518.68
PSL,2024,Shoaib Malik,9,244,27.11,115.64,3135.12
PSL,2024,Rovman Powell,11,224,20.36,149.33,3040.97
PSL,2024,Irfan Khan,7,145,20.71,145.0,3003.57
PSL,2024,Shaheen Afridi,6,107,17.83,164.62,2935.64
PSL,2024,Yasir Khan,7,164,23.43,125.19,2933.04
PSL,2024,James Vince,9,214,23.78,121.59,2891.16
