player_name,competition,season_label,innings,total_runs,avg_runs,strike_rate,batting_index,role
Iftikhar Ahmed,PSL,2024,10,259,25.9,194.74,5043.68,Explosive Finisher
Azam Khan,PSL,2024,10,226,22.6,171.21,3869.39,Explosive Finisher
Jahandad Khan,PSL,2024,6,88,14.67,187.23,2746.1,Explosive Finisher
Jason Roy,PSL,2024,8,225,28.13,152.03,4275.76,Power Hitter
Shaheen Afridi,PSL,2024,6,107,17.83,164.62,2935.64,Power Hitter
Haider Ali,PSL,2024,6,103,17.17,163.49,2806.61,Power Hitter
Aamer Jamal,PSL,2024,8,138,17.25,162.35,2800.59,Power Hitter
Naseem Shah,PSL,2024,6,62,10.33,163.16,1685.96,Power Hitter
Lhuan-dre Pretorius,SA20,2025,12,397,33.08,166.81,5518.52,Aggressive Top Order
Joe Root,SA20,2025,8,279,34.88,140.2,4889.51,Balanced
Rubin Hermann,SA20,2025,9,333,37.0,128.08,4738.85,Balanced
Rassie van der Dussen,SA20,2025,11,393,35.73,129.7,4633.93,Balanced
Kane Williamson,SA20,2025,7,233,33.29,118.88,3956.92,Balanced
Faf du Plessis,SA20,2025,10,286,28.6,138.16,3951.5,Balanced
Jonny Bairstow,SA20,2025,8,232,29.0,134.1,3889.02,Balanced
Rahmanullah Gurbaz,SA20,2025,6,151,25.17,146.6,3689.48,Balanced
David Miller,SA20,2025,9,234,26.0,136.84,3557.89,Balanced
Aiden Markram,SA20,2025,13,340,26.15,130.27,3407.01,Balanced
Reeza Hendricks,SA20,2025,8,212,26.5,128.48,3404.85,Balanced
Will Jacks,SA20,2025,9,225,25.0,135.54,3388.55,Balanced
Heinrich Klaasen,SA20,2025,8,198,24.75,134.69,3333.67,Balanced
Devon Conway,SA20,2025,10,272,27.2,113.81,3095.56,Balanced
Tristan Stubbs,SA20,2025,11,232,21.09,118.97,2509.28,Balanced
Kyle Verreynne,SA20,2025,9,172,19.11,127.41,2434.9,Balanced
David Bedingham,SA20,2025,12,241,20.08,119.9,2408.0,Balanced
Quinton de Kock,SA20,2025,8,159,19.88,115.22,2289.95,Balanced
Wiaan Mulder,SA20,2025,8,145,18.13,118.85,2154.2,Balanced
James Neesham,SA20,2025,6,95,15.83,135.71,2148.81,Balanced
Marco Jansen,SA20,2025,12,204,17.0,125.15,2127.61,Balanced
Jordan Hermann,SA20,2025,10,187,18.7,107.47,2009.71,Balanced
Dinesh Karthik,SA20,2025,8,130,16.25,121.5,1974.3,Balanced
Marques Ackerman,SA20,2025,8,121,15.13,123.47,1867.47,Balanced
Leus du Plooy,SA20,2025,7,117,16.71,110.38,1844.88,Balanced
Matthew Breetzke,SA20,2025,7,117,16.71,103.54,1730.59,Balanced
Tom Abell,SA20,2025,12,176,14.67,106.67,1564.44,Balanced
Mitchell Van Buuren,SA20,2025,8,131,16.38,90.97,1489.67,Balanced
Zak Crawley,SA20,2025,8,88,11.0,110.0,1210.0,Balanced
Liam Dawson,SA20,2025,6,47,7.83,146.88,1150.52,Balanced
Colin Ingram,SA20,2025,6,64,10.67,100.0,1066.67,Balanced
Wihan Lubbe,SA20,2025,8,75,9.38,100.0,937.5,Balanced
Senuran Muthusamy,SA20,2025,6,42,7.0,95.45,668.18,Balanced
Rilee Rossouw,SA20,2025,6,32,5.33,94.12,501.96,Balanced
Ryan Rickelton,SA20,2025,8,336,42.0,178.72,7506.38,Explosive Finisher
Dewald Brevis,SA20,2025,10,291,29.1,184.18,5359.56,Explosive Finisher
Delano Potgieter,SA20,2025,8,172,21.5,168.63,3625.49,Power Hitter
Donovan Ferreira,SA20,2025,7,163,23.29,155.24,3614.83,Power Hitter
George Linde,SA20,2025,8,161,20.13,153.33,3085.83,Power Hitter
